Reaction	Flux
R_PCW_bd_RSp1071	0
R_MLDEP2pp	0
R_EX_GKC_storage_c	0
R_PPNCL2	1.612760589124523e-4
R_EAR140x	0.021547077121703093
R_PPLCc120	0
R_UDPGDr	0.001196130770268452
R_INSEPIH	0
R_DHORTS	-0.10281628748836104
R_GLNtex	0
R_PRASCS	0.10512847098569005
R_PGP140abcpp	0
R_AGPAT160	0.008587390150780291
R_LYSDC	0
R_AGPAT161	0.005109875130477352
R_MESUCCt_1pp	0
R_THD2pp	0
R_PROT_CbhA_BioS	0
R_EX_glcr_e_	0
R_EAR141x	0.018093157859257334
R_IDOND	0
R_HEX7	0
R_FUSAtpp	0
R_EX_glyb_e_	0
R_CYTBDpp	0
R_HEX1	0
R_CLPNS141pp	0
R_GLYtex	0
R_PCW_bd_RSc0246_act	0
R_T3SS_E_RipH2_S	0
R_ACSERtex	0
R_23CGMPtex	0
R_IDONt2rpp	0
R_PROAS	0
R_2AGPG161tipp	0
R_EX_protein_PehC_e_	0
R_ARBTNLSYN	0
R_PTRCabcpp	0
R_DMPPS	8.562190766575678e-4
R_FUMtex	0
R_LPSS1_RS	0.002990326925671129
R_THFAT	0
R_EX_asp_L_e_	0
R_T3SS_E_RipS2_BioS	0
R_EX_glyc2p_e_	0
R_CBL1abcpp	0
R_LIPOS	8.399794735031261e-7
R_AHLACYC8	0
R_AGPAT180	0.0021111484100711907
R_T3SS_E_RipK_BioS	0
R_EX_T6SS_E_RSp0629_e_	0
R_AGPAT181	0.003936703799151319
R_AHLACYC7	0
R_EX_protein_RSc0102_e_	0
R_EX_cd2_e_	0
R_PROT_ce_RSp1180_S	0
R_UPP3MT	6.24384741970657e-5
R_3OOCTAtex	0
R_T3SS_E_RipS2_S	0
R_XYLK	0
R_PHBD_Ext	0
R_NO3R1pp	0
R_TMDPP	0
R_EX_Naldx_e_	0
R_GTHRDHpp	0
R_BLUB	6.24384741970657e-5
R_ZN2abcpp	0
R_EX_acpc_e	0
R_EX_ind3acnl_e_	0
R_XYLUtex	0
R_DM_2hyoxplac	0
R_AMPTASEQE	0
R_P5CD1p	0
R_EX_crn_e_	0
R_AMPTASEQG	0
R_MNLtex	0
R_T3SS_E_RipAM_BioS	0
R_23PDE9pp	0
R_TDPGDH	0.03344196155402677
R_DXPRIi	8.562190766575676e-4
R_EX_PCW_e_	0
R_T3SS_E_RipAG_S	0
R_THRD_L	0.052378891569168834
R_PC6AR	6.24384741970657e-5
R_PSbioS	0
R_VALTRS	0.11695351150436235
R_PYRtex	0
R_DGLUISO	0
R_MDDEP1pp	0.003614711667641786
R_ACt4pp	0
R_EX_protein_RSp1539_e_	0
R_T3SS_E_RipD_S	0
R_EX_protein_RSp1180_act_e_	0
R_EX_acser_e_	0
R_PROT_cp_RSp1073_S	0
R_EX_T6SS_E_RSp0768_e_	0
R_EX_T6SS_E_RSp0175_e_	0
R_EX_asp_L_gln_L_e_	0
R_MMTSAOR	0
R_PROabcpp	0
R_ETHAtex	0
R_UAPGR	0.018527147253900624
R_EX_T3SS_E_RipAV_e_	0
R_T3SS_E_RipAX1_S	0
R_HNO2_c	0
R_ICL	1.918392216114827
R_EX_h2o_e_	19.15699398577035
R_PROT_RSp0745_BioS	0
R_GLYCLTtex	0
R_NNDMBRT	6.24384741970657e-5
R_EX_T3SS_E_RipBB_e_	0
R_CHORS	0.10252704012409158
R_GALabcpp	0
R_CHORM	0.10102767676388846
R_PSPGAtex	0
